TEAM,march_madness,Conference,YEAR
UCLA,F4,P12,2021
LSU,S16,SEC,2019
Houston,R32,Amer,2018
Iowa St.,R32,B12,2017
Texas A&M,S16,SEC,2016
Iowa,R32,B10,2015
Ohio St.,R64,B10,2014
Creighton,R32,MVC,2013
Duke,R64,ACC,2012
Washington,R32,P10,2011
Xavier,S16,A10,2010
Washington,R32,P10,2009
Texas A&M,R32,B12,2008
Saint Mary's,R32,WCC,2022
Texas,R64,B12,2021
Wisconsin,R64,B10,2019
Butler,R32,BE,2018
Wisconsin,S16,B10,2017
Duke,S16,ACC,2016
Iowa St.,R64,B12,2015
Wichita St.,F4,MVC,2013
New Mexico,R32,MWC,2012
West Virginia,R32,BE,2011
Temple,R64,A10,2010
Marquette,R32,BE,2009
West Virginia,S16,BE,2008
Illinois,R32,B10,2022
West Virginia,R32,B12,2021
Louisville,R64,ACC,2019
Kentucky,S16,SEC,2018
Oklahoma St.,R64,B12,2017
Iowa St.,S16,B12,2016
Ohio St.,R32,B10,2015
Gonzaga,R32,WCC,2014
Minnesota,R32,B10,2013
Marquette,S16,BE,2012
Arizona,E8,P10,2011
Villanova,R32,BE,2010
BYU,R64,MWC,2009
Kansas St.,R32,B12,2008
Arkansas,E8,SEC,2022
LSU,R32,SEC,2021
UCF,R32,Amer,2019
Clemson,S16,ACC,2018
Notre Dame,R32,ACC,2017
Arizona,R64,P12,2016
Butler,R32,BE,2015
Oklahoma St.,R64,B12,2014
Marquette,E8,BE,2013
Florida St.,R32,ACC,2012
Kansas St.,R32,B12,2011
Missouri,R32,B12,2010
Xavier,S16,A10,2009
Drake,R64,MVC,2008
LSU,R64,SEC,2022
Virginia,R64,ACC,2021
Seton Hall,R32,BE,2018
Baylor,S16,B12,2017
California,R64,P12,2016
Xavier,S16,BE,2015
Kentucky,2ND,SEC,2014
Oklahoma St.,R64,B12,2013
Cincinnati,S16,BE,2012
Utah St.,R64,WAC,2011
Texas,R64,B12,2010
Clemson,R64,ACC,2009
Purdue,R32,B10,2008
San Francisco,R64,WCC,2022
Mississippi St.,R64,SEC,2019
Creighton,R64,BE,2018
UCLA,S16,P12,2017
Seton Hall,R64,BE,2016
Texas,R64,B12,2015
San Diego St.,S16,MWC,2014
Gonzaga,R32,WCC,2012
Clemson,R64,ACC,2011
Michigan St.,F4,B10,2010
Texas,R32,B12,2009
Pittsburgh,R32,BE,2008
Michigan,S16,B10,2022
Creighton,S16,BE,2021
Florida,R32,SEC,2019
TCU,R64,B12,2018
Arizona,S16,P12,2017
Georgetown,R32,BE,2015
VCU,R64,A10,2014
Saint Mary's,R64,WCC,2013
Michigan,R64,B10,2012
Cincinnati,R32,BE,2011
Utah St.,R64,WAC,2010
USC,R32,P10,2009
Connecticut,R64,BE,2008
Connecticut,R64,BE,2022
BYU,R64,WCC,2021
Wofford,R32,SC,2019
Wichita St.,R64,Amer,2018
South Carolina,F4,SEC,2017
Iowa,R32,B10,2016
Providence,R64,BE,2015
Iowa St.,S16,B12,2014
North Carolina,R32,ACC,2013
Purdue,R32,B10,2012
UNLV,R64,MWC,2011
Minnesota,R64,B10,2010
Illinois,R64,B10,2009
Arizona,R64,P10,2008
TCU,R32,B12,2022
Arkansas,E8,SEC,2021
Cincinnati,R64,Amer,2019
Auburn,R32,SEC,2018
Butler,S16,BE,2017
Butler,R32,BE,2016
Baylor,S16,B12,2014
Kansas St.,R64,B12,2013
Iowa St.,R32,B12,2012
Michigan,R32,B10,2011
Marquette,R64,BE,2010
Wake Forest,R64,ACC,2009
Gonzaga,R64,WCC,2008
San Diego St.,R64,MWC,2022
Tennessee,R64,SEC,2021
VCU,R64,A10,2019
Texas A&M,S16,SEC,2018
Florida St.,R32,ACC,2017
San Diego St.,R32,MWC,2015
North Carolina,R32,ACC,2014
Missouri,R64,SEC,2013
Alabama,R64,SEC,2012
Northern Iowa,S16,MVC,2010
Oklahoma St.,R32,B12,2009
Notre Dame,R32,BE,2008
Indiana,R64,B10,2022
Maryland,R32,B10,2019
Florida St.,E8,ACC,2018
Creighton,R64,BE,2017
Maryland,S16,B10,2016
Oklahoma,R64,B12,2014
Iowa St.,R32,B12,2013
Kansas St.,R32,B12,2012
Gonzaga,R32,WCC,2011
Washington,S16,P10,2010
Butler,R32,Horz,2008
Purdue,R64,B10,2021
Buffalo,R32,MAC,2019
Miami FL,R64,ACC,2018
Vanderbilt,R64,SEC,2017
Syracuse,F4,ACC,2016
West Virginia,S16,B12,2015
Cincinnati,R64,Amer,2014
Virginia,R64,ACC,2012
St. John's,R64,BE,2011
Oklahoma St.,R64,B12,2010
Wisconsin,R32,B10,2009
USC,R64,P10,2008
Ohio St.,R32,B10,2022
Oregon,S16,P12,2021
Kansas St.,E8,B12,2018
Marquette,R64,BE,2017
VCU,R32,A10,2016
Arkansas,R32,SEC,2015
Oregon,R32,P12,2014
UNLV,R64,MWC,2013
UNLV,R64,MWC,2012
Notre Dame,R64,BE,2010
Tennessee,R64,SEC,2009
Indiana,R64,B10,2008
Alabama,R64,SEC,2022
Kansas,R32,B12,2021
Oklahoma,R32,B12,2019
Virginia Tech,R64,ACC,2018
Utah,R32,P12,2016
SMU,R64,Amer,2015
New Mexico,R64,MWC,2014
Colorado St.,R32,MWC,2013
Temple,R64,A10,2012
Florida St.,S16,ACC,2011
Georgia Tech,R32,ACC,2010
Utah,R64,MWC,2009
Texas,R64,B12,2018
Kansas St.,R64,B12,2017
Baylor,R64,B12,2016
North Carolina St.,S16,ACC,2015
San Diego St.,R32,MWC,2013
Vanderbilt,R64,SEC,2011
Florida St.,R64,ACC,2010
California,R64,P10,2009
Georgia Tech,R64,ACC,2021
Oregon,S16,P12,2019
Miami FL,R64,ACC,2017
Connecticut,R32,Amer,2016
Maryland,R32,B10,2015
Harvard,R32,Ivy,2014
Notre Dame,R64,BE,2013
Marquette,S16,BE,2011
Tennessee,E8,SEC,2010
Ohio St.,R64,B10,2009
Providence,S16,BE,2022
Maryland,R32,B10,2021
Saint Mary's,R64,WCC,2019
Rhode Island,R32,A10,2017
Purdue,R64,B10,2015
Saint Joseph's,R64,A10,2014
Illinois,R32,B10,2013
Belmont,R64,ASun,2012
Belmont,R64,ASun,2011
UNLV,R64,MWC,2010
Mississippi St.,R32,SEC,2008
St. Bonaventure,R64,A10,2021
Nevada,R64,MWC,2019
Arizona,R64,P12,2018
Xavier,E8,BE,2017
Pittsburgh,R64,ACC,2016
Oregon,S16,P12,2013
North Carolina St.,S16,ACC,2012
Villanova,R64,BE,2011
UTEP,R64,CUSA,2010
BYU,R64,MWC,2008
Notre Dame,R32,ACC,2022
Oklahoma St.,R32,B12,2021
Syracuse,R64,ACC,2019
San Diego St.,R64,MWC,2018
Minnesota,R64,B10,2017
Cincinnati,R64,Amer,2016
St. John's,R64,BE,2015
Texas,R32,B12,2014
Memphis,R32,CUSA,2013
Connecticut,R64,BE,2012
Butler,2ND,Horz,2011
Pittsburgh,R32,BE,2010
Wisconsin,R32,B10,2022
North Carolina,R64,ACC,2021
Marquette,R64,BE,2019
Arkansas,R64,SEC,2018
Michigan St.,R32,B10,2017
Saint Joseph's,R32,A10,2016
Davidson,R64,A10,2015
Memphis,R32,Amer,2014
Cincinnati,R64,BE,2013
VCU,R32,CAA,2012
Georgetown,R64,BE,2011
Miami FL,R32,ACC,2008
Miami FL,E8,ACC,2022
Syracuse,S16,ACC,2021
Georgia,R64,SEC,2015
Saint Louis,R32,A10,2014
Creighton,R32,MVC,2012
Temple,R32,A10,2011
Gonzaga,R32,WCC,2010
Arkansas,R32,SEC,2008
Loyola Chicago,R64,MVC,2022
Oklahoma,R32,B12,2021
Villanova,R32,BE,2019
Northwestern,R32,B10,2017
Texas,R64,B12,2016
Indiana,R64,B10,2015
Kansas St.,R64,B12,2014
New Mexico,R64,MWC,2013
South Florida,R32,BE,2012
George Mason,R32,CAA,2011
Old Dominion,R32,CAA,2010
Florida St.,R64,ACC,2009
Boise St.,R64,MWC,2022
Florida,R32,SEC,2021
Mississippi,R64,SEC,2019
Cincinnati,R32,Amer,2015
North Carolina St.,R64,ACC,2013
St. Bonaventure,R64,A10,2012
Vanderbilt,R64,SEC,2010
Arizona,S16,P10,2009
Baylor,R64,B12,2008
Michigan St.,R32,B10,2022
Missouri,R64,SEC,2021
Baylor,R32,B12,2019
Loyola Chicago,F4,MVC,2018
Wisconsin,S16,B10,2016
Stanford,S16,P12,2014
Butler,R32,A10,2013
Harvard,R64,Ivy,2012
Missouri,R64,B12,2011
Oregon,R64,P10,2008
Rutgers,R32,B10,2021
Utah St.,R64,MWC,2019
Maryland,R64,B10,2017
LSU,R64,SEC,2015
La Salle,S16,A10,2013
Murray St.,R32,OVC,2012
Saint Mary's,S16,WCC,2010
Michigan,R32,B10,2009
Iowa St.,S16,B12,2022
VCU,R64,A10,2021
Nevada,S16,MWC,2018
VCU,R64,A10,2015
Colorado,R64,P12,2013
Texas,R64,B12,2012
Georgia,R64,SEC,2011
